system_id,system_name,bibkey,year,domain,epistemic_role,grounding,clause_i_selects_next,clause_ii_automated_exec,clause_iii_feedback_returns,grounding_evidence,collab_mode,human_role,infra_coupling,embodiment,evidence_type,reported_metric,campaign_scale,physical_exec,provenance,safety_mechanisms,outside_check,in_table_III,coder_notes
S01,Coscientist,boiko2023coscientist,2023,Chemistry,design;execution;interpretation,G3,Y,Y,Y,VERIFY,delegate,goal-setter;gatekeeper,robotic-labos,fixed-hardware,demonstration,VERIFY,VERIFY,robotic,tool-call-logs,substance-screening,none-reported,Y,Bounded reaction family; scaffolding effort not quantified
S02,ChemCrow,bran2024chemcrow,2024,Chemistry,design;execution,G2,N,Y,N,VERIFY,delegate,operator;verifier,robotic-labos,fixed-hardware,demonstration,VERIFY,VERIFY,robotic,tool-call-logs,substance-screening,none-reported,Y,Worked boundary case for Sec III-C
S03,Mobile robotic chemist,burger2020mobile,2020,Chemistry/Mat.,execution;optimization,G3,Y,Y,Y,VERIFY,delegate,goal-setter,robotic-labos,mobile-robot,measured-rate,VERIFY,688 experiments / 8 days,robotic,not-reported,not-reported,none-reported,Y,Narrow epistemic role
S04,Robot Scientist Adam,king2009automation,2009,Biology,hypothesis;design;execution;interpretation,G3,Y,Y,Y,VERIFY,teammate,supervisor,robotic-labos,facility,demonstration,VERIFY,VERIFY,robotic,formal-logs,not-reported,none-reported,Y,Strongest provenance in corpus
S05,Eve,williams2015eve,2015,Biomedicine,hypothesis;design;execution,VERIFY,VERIFY,VERIFY,VERIFY,VERIFY,teammate,supervisor,robotic-labos,facility,VERIFY,VERIFY,VERIFY,robotic,VERIFY,not-reported,none-reported,N,Adam successor; drug repositioning. Code before citing a level
S06,AI co-scientist,gottweis2025coscientist,2025,Biomedicine,hypothesis-generation,G0/G1,N,N,N,VERIFY,teammate,goal-setter;verifier,retrieval-only,none,demonstration,VERIFY,VERIFY,human,free-text-rationale,none-reported,none-reported,Y,Downstream validation does not raise grounding
S07,Virtual Lab,swanson2025virtuallab,2025,Biomedicine,hypothesis;design,G2,VERIFY,N,VERIFY,VERIFY,teammate,principal-investigator,tool-code,none,demonstration,VERIFY,VERIFY,human,free-text-rationale,none-reported,none-reported,Y,CRITICAL: G1 vs G2 hinges on clause iii
S08,A-Lab,szymanski2023alab,2023,Materials,design;execution;interpretation,G3,Y,Y,Y,VERIFY,delegate,supervisor;auditor,robotic-labos,facility,measured-rate,36 of 57 targets (corrected),17 days,robotic,not-reported,not-reported,corrected,Y,Grounding survives; value claim corrected. See leeman2024challenges + szymanski2026author
S09,AI Scientist v1,lu2024aiscientist,2024,Computational,ideation;execution;writing,G1,Y,N,Y,VERIFY,delegate,reviewer,tool-code,none,demonstration,VERIFY,VERIFY,none,free-text-rationale,none-reported,noted-by-authors,Y,Harness-editing behaviour self-reported
S10,AI Scientist v2,yamada2025aiscientistv2,2025,Computational,ideation;execution;writing,G1,Y,N,Y,VERIFY,delegate,reviewer,tool-code,none,demonstration,workshop paper accepted,VERIFY,none,free-text-rationale,none-reported,none-reported,Y,Tabulated jointly with v1
S11,ChemOS,roch2018chemos,2018,Chemistry,orchestration,VERIFY,VERIFY,VERIFY,VERIFY,VERIFY,delegate,operator,robotic-labos,fixed-hardware,VERIFY,VERIFY,VERIFY,robotic,VERIFY,not-reported,none-reported,N,Infrastructure layer rather than reasoning agent. Decide if it belongs on the scale at all
S12,Exploratory synthesis robots,dai2024autonomous,2024,Chemistry,design;execution,VERIFY,VERIFY,Y,VERIFY,VERIFY,delegate,goal-setter,robotic-labos,mobile-robot,VERIFY,VERIFY,VERIFY,robotic,not-reported,not-reported,none-reported,N,LLM reasoning + mobile robots. Strong G3 candidate; code before claiming
S13,SEM imitation-learning agent,alarcon2024learning,2024,Materials char.,instrument control,VERIFY,N,VERIFY,VERIFY,VERIFY: offline prediction or live SEM?,delegate,supervisor,lab-api,fixed-hardware,measured-rate,RMSE 0.23/0.43/0.77,VERIFY,VERIFY,not-reported,not-reported,none-reported,Y,G1 if RMSE from held-out data; G2 only if it drove the instrument
S14,RISE,alarcon2025rise,2025,Materials char.,instrument control,VERIFY,N,VERIFY,VERIFY,VERIFY,delegate,supervisor,lab-api,fixed-hardware,VERIFY,VERIFY,VERIFY,VERIFY,not-reported,not-reported,none-reported,Y,Tabulated jointly with S13
S15,ARES-Vidura,roy2025closed,2025,Chemistry/Mat.,parameter recommendation,VERIFY,N,VERIFY,VERIFY,VERIFY: were growth runs executed on ARES?,copilot,operator;approver,lab-api,fixed-hardware,measured-rate,89% relevance improvement,VERIFY,VERIFY,not-reported,not-reported,none-reported,Y,G1 if evaluation is RAG pipeline + user study only
